Open,Close
9.64,9.64
9.64,9.64
9.64,9.64
9.7,9.7
9.7,9.7
9.7,9.7
9.68,9.654
9.654,9.654
9.654,9.654
9.55,9.55
9.55,9.55
9.64,9.61
9.57,9.57
9.68,9.58
9.62,9.62
9.59,9.59
9.62,9.62
9.62,9.62
9.65,9.65
9.69,9.63
9.59,9.64
9.64,9.64
9.64,9.64
9.6,9.6
9.64,9.64
9.6,9.6
9.6,9.6
9.6,9.6
9.6,9.6
9.68,9.65
9.69,9.66
9.74,9.73
9.67,9.75
9.75,9.75
9.75,9.75
9.74,9.8
9.72,9.73
9.68,9.69
9.68,9.7
9.6,9.72
9.6,9.75
9.65,9.69
9.7,9.75
9.69,9.74
9.7,9.78
9.74,9.74
9.68,9.75
9.7,9.76
9.69,9.71
9.66,9.72
9.68,9.7
9.68,9.68
9.68,9.68
9.68,9.68
9.78,9.69
9.69,9.69
9.68,9.73
9.73,9.73
9.73,9.73
9.75,9.75
9.75,9.75
9.75,9.75
9.75,9.68
9.68,9.68
9.68,9.68
9.68,9.68
9.68,9.68
9.75,9.75
9.75,9.75
9.75,9.75
9.75,9.75
9.7,9.7
9.7,9.7
9.7,9.7
9.7,9.7
9.7,9.7
9.7,9.7
9.7,9.7
9.7,9.7
9.7,9.71
9.75,9.71
9.71,9.71
9.75,9.75
9.75,9.75
9.77,9.77
9.77,9.77
9.79,9.78
9.78,9.799
9.79,9.8
9.8,9.8
9.85,9.93
9.93,9.93
9.93,9.93
9.95,10.44
10.04,10.18
10,10.39
10.39,10.39
10.24,10.24
10.12,10.12
10.12,10.12
10.05,10.05
10.05,10.05
10.05,10.02
10.02,10.02
10.02,10.02
10.04,10.04
10.04,10.04
10.05,10.1
10.07,10.1
12.05,11.59
11.47,11.96
11.92,11.87
11.97,11.63
11.66,11.35
11.4,11.15
11.11,11.25
11.05,11.23
11.2,11.19
11.25,11.2
11.26,11.56
11.51,11.57
11.64,11.58
11.48,11.41
11.22,11.5
11.5,11.77
11.8,11.88
11.85,11.68
11.74,11.6
11.55,11.29
11.07,11.26
11.3,11.34
11.35,11.14
11.03,11.13
11.135,10.95
10.97,10.98
11.07,10.85
10.92,10.76
10.87,11.25
11.34,11.21
11.25,11.29
11.22,11.32
11.35,11.4
11.4,11.47
11.43,11.36
11.37,11.35
11.34,11.66
11.58,11.57
11.6,11.62
11.59,11.78
11.78,11.77
11.74,11.8
11.78,12.5
12.57,12.62
12.68,12.6
12.6,12.8
12.86,12.99
13,12.97
13,12.81
12.85,12.67
12.67,12.75
12.75,12.75
12.73,12.8
12.84,12.7
12.67,12.61
12.7,12.605
12.63,12.52
